Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  13:00:00,-3.925,3.625,22.532717946388228,0.003675315484011584,0.0,700921.0563176085,859.4939728531147,0.021685023299991994,4008968.747273115,18744.036887998802,18744.036887998802,18.656581459038037,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,20.248528590858573,0.0037404328003496296,383218.9923534809,173431.0761040863,769.3088108518225,0.011870873486070861,3513972.427018912,18744.036887998802,18744.036887998802,17.05451653935839,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.647713321725956,0.0038865072916282727,0.0,630782.4733195028,725.5686084907522,0.006516572810041112,3378954.306130604,18744.036887998802,18744.036887998802,18.156339416698586,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,22.618065140024775,0.0038020810604345264,0.0,605067.8456165348,807.1915191430753,0.0032854506819396815,3436939.591085393,18744.036887998802,18744.036887998802,19.26946432248107,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,22.669907589334642,0.003889464334821533,0.0,629892.3076703883,855.997583321237,0.0013901608635932864,3628281.018941755,18744.036887998802,18744.036887998802,19.18483819470856,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,22.704966660593673,0.0036827599286197226,0.0,655255.1709316117,876.222409297378,0.000596242848293123,3753187.564407372,18744.036887998802,18744.036887998802,19.07984426706207,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,20.287407495250015,0.003536996234808504,412847.16620746674,209816.22539226932,765.3075514885039,0.0003253858099748029,3695755.714786217,18744.036887998802,18744.036887998802,16.90935526849295,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,20.000000024151188,0.0034540590055991455,771200.2368589994,0.0,576.2348089594027,0.00015562684800377567,3884276.528378264,18744.036887998802,18744.036887998802,16.26021981943721,37488.073775997604 
 01/01  21:00:00,-5.0,2.625,20.000000000001176,0.003489003758008023,863364.3761881285,0.0,479.8464770605945,0.00007055449350724728,3790456.830662675,18744.036887998802,18744.036887998802,16.353959891127076,37488.073775997604 
 01/01  22:00:00,-4.15,3.0,20.0,0.0035400789580765204,911152.9467724017,0.0,436.3951679385796,0.00003215817236424896,3662498.813246462,18744.036887998802,18744.036887998802,16.48144457089804,37488.073775997604 
 01/01  23:00:00,-4.0,2.375,20.0,0.0034322063403679965,942003.5738898241,0.0,416.58565696725145,0.000014654868328380698,3639803.8599513397,18744.036887998802,18744.036887998802,16.50393190110638,37488.073775997604 
 01/01  24:00:00,-3.875,2.625,20.0,0.00347374885523138,983409.9424538022,0.0,407.5759288368496,0.0000066939892166249465,3621446.6408325103,18744.036887998802,18744.036887998802,16.522665895187142,37488.073775997604 
 01/02  01:00:00,-3.925,3.625,20.0,0.00366931427649314,1038092.0808144109,0.0,403.58720313649104,0.000003169604693397797,3629602.4307915294,10901.50887128272,10901.50887128272,16.48372699492854,21803.01774256544 
 01/02  02:00:00,-4.0,3.375,20.0,0.003612405598440292,1061996.8531352289,0.0,402.13159367600804,0.0000018834476482734012,3641102.7687201137,3365.945277133518,3365.945277133518,16.43783949867131,6731.890554267036 
 01/02  03:00:00,-4.0,3.625,20.0,0.003667572880541937,1094125.067799891,0.0,401.47139141732254,0.0000013001017670417837,3641102.768720114,2036.234098728191,2036.234098728191,16.431081829700098,4072.468197456382 
