Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,16.0,5115669.390263483,0.0,403.9249331475486,3494020.6780409766,18744.036887998802,18744.036887998802,12.64728250876233,0.7540322665834278,5753227.102945339 
 01/01  02:00:00,-9.625,1.375,16.0,5297880.936341834,0.0,401.7385123783474,3882123.2932290602,18744.036887998802,18744.036887998802,12.261089273533134,0.754393015220417,6004208.164908482 
 01/01  03:00:00,-9.0625,1.625,16.0,5366482.585241051,0.0,400.77201378971495,3796870.290802332,18744.036887998802,18744.036887998802,12.34551017478784,0.7492988009328485,6057375.385949333 
 01/01  04:00:00,-10.0625,0.75,16.0,5416497.879295369,0.0,400.3441375982191,3947105.2831054414,18744.036887998802,18744.036887998802,12.19555484416756,0.7509638993331131,6133895.423016114 
 01/01  05:00:00,-11.0,0.0,16.0,5455135.671629816,0.0,400.15292919625915,4088746.6803841875,18744.036887998802,18744.036887998802,12.054969417120821,0.7535932891551156,6197358.505532032 
 01/01  06:00:00,-9.625,1.25,16.0,5460948.343781349,0.0,400.0679807866423,3881484.3798060385,18744.036887998802,18744.036887998802,12.261247953570948,0.7493809828311456,6166080.536004671 
 01/01  07:00:00,-9.55,1.375,16.0,5479691.283111878,0.0,400.03029667197825,3869902.850624791,18744.036887998802,18744.036887998802,12.272524403652849,0.7507550483493151,6182617.313111 
 01/01  08:00:00,-10.625,1.0,20.607366958882878,14685529.852313034,0.0,400.01663537278176,4703252.1774520315,18744.036887998802,18744.036887998802,15.880387730297137,0.7644183513951053,15566673.404826302 
 01/01  09:00:00,-8.75,1.625,20.99999999997398,10191395.902821844,0.0,400.0077892849909,4507110.23803982,18744.036887998802,18744.036887998802,16.642561934582897,0.7627855381032821,11006426.56072741 
 01/01  10:00:00,-9.025,1.375,21.0,2811663.3878903505,0.0,559.2503284945828,4548401.181030698,18744.036887998802,18744.036887998802,16.601282197770814,0.7644863615706892,10413139.03008217 
