Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  24:00:00,-3.875,2.625,19.386132132117847,0.03572004665031524,2656504.7320786947,0.0,401.898873807232,76.11461611497475,2353637.649860284,12496.024591999203,12496.024591999203,16.012919767377994,24992.049183998406 
 01/02  01:00:00,-3.925,3.625,19.31975846541747,0.03570441774735732,2658146.93721898,0.0,400.7177186870613,28.769098456746285,2352867.477932609,12496.024591999203,12496.024591999203,15.953302937616415,24992.049183998406 
 01/02  02:00:00,-4.0,3.375,19.256862500675584,0.035687250224122294,2656062.832622359,0.0,400.2728067684478,10.935210208850544,2353491.12982123,12496.024591999203,12496.024591999203,15.882853717991985,24992.049183998406 
 01/02  03:00:00,-4.0,3.625,19.20647019188862,0.035687250224122294,2657304.7378132963,0.0,400.1041495930615,4.174741340334677,2348523.5892151985,12496.024591999203,12496.024591999203,15.841087857133815,24992.049183998406 
 01/02  04:00:00,-4.0,3.375,19.158611365523434,0.035679340507205295,2657246.13374868,0.0,400.03993583550596,1.6007915012976488,2343960.3326723296,12496.024591999203,12496.024591999203,15.797697158888399,24992.049183998406 
 01/02  05:00:00,-4.0,4.875,19.105361819390794,0.03568942539627443,2659679.4766528634,0.0,400.0153735037246,0.6162328594283017,2338338.2108897157,12496.024591999203,12496.024591999203,15.756828517945891,24992.049183998406 
 01/02  06:00:00,-4.375,5.375,19.010288586386068,0.035856930821162744,2658996.4053044026,0.0,400.0059527938643,0.238612306621088,2366497.2564241625,12496.024591999203,12496.024591999203,15.631739906934516,24992.049183998406 
 01/02  07:00:00,-6.1,5.0,18.7704555933369,0.0360621272943958,2649687.1048030118,0.0,400.00233279011076,0.09350776153759803,2520346.8953901804,12496.024591999203,12496.024591999203,15.213053105164853,24992.049183998406 
 01/02  08:00:00,-7.625,3.75,18.507567138166664,0.03621091423990053,2616850.2345653283,0.0,400.0009332304079,0.03740768877132569,2643931.1879317174,12496.024591999203,12496.024591999203,14.732126377680473,24992.049183998406 
 01/02  09:00:00,-7.562500000000001,4.25,18.46993111689025,0.036347685748840446,2591310.1354721547,0.0,400.0003779795542,0.015150965293735622,2626367.717716425,12496.024591999203,12496.024591999203,14.642937365422263,24992.049183998406 
