Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,15.0,232284.2797198633,0.0,737.4786785032721,0.0,0.0,0.0,-7.05,0.0,0.0 
 01/01  02:00:00,-9.625,1.375,15.0,311854.2343157465,0.0,717.2182510009519,0.0,0.0,0.0,-9.625,0.0,0.0 
 01/01  03:00:00,-9.0625,1.625,15.0,342155.3575599069,0.0,698.4661637255946,0.0,0.0,0.0,-9.0625,0.0,0.0 
 01/01  04:00:00,-10.0625,0.75,15.0,387641.9397360609,0.0,680.7910427915331,0.0,0.0,0.0,-10.0625,0.0,0.0 
 01/01  05:00:00,-11.0,0.0,15.0,434536.6810162859,0.0,664.4174838282764,0.0,0.0,0.0,-11.0,0.0,0.0 
 01/01  06:00:00,-9.625,1.25,15.0,454855.6281445349,0.0,648.9831252749102,0.0,0.0,0.0,-9.625,0.0,0.0 
 01/01  07:00:00,-9.55,1.375,15.0,490026.60501583247,0.0,634.2566141932814,0.0,0.0,0.0,-9.55,0.0,0.0 
 01/01  08:00:00,-10.625,1.0,21.200265934276548,10718312.675467486,0.0,624.5444632104721,0.0,0.0,0.0,-10.625,0.0,0.0 
 01/01  09:00:00,-8.75,1.625,21.000000004722285,9581622.83158311,0.0,614.7898468556517,0.0,0.0,0.0,-8.75,0.0,0.0 
 01/01  10:00:00,-9.025,1.375,21.000000000000327,4251321.5858510565,0.0,691.6753733359973,4570394.129537424,18744.036887998802,18744.036887998802,16.722814660029,0.7784458864413306,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,21.0,2969012.8489898043,0.0,798.1601811293775,4412985.598278085,18744.036887998802,18744.036887998802,16.734446769985727,0.7798282723604656,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,21.0,2808135.7604323686,0.0,848.6749985507972,3940998.35819289,18744.036887998802,18744.036887998802,17.203221735994326,0.7771372506697667,8346288.073775997 
