Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  11:00:00,-8.125,1.625,21.000000000000004,52474.21517078001,302058.10590596136,748.319356364381,4413647.2238359,18744.036887998802,18744.036887998802,16.738152736221124,0.7798527300467765,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,21.12946984160274,0.0,704320.6896294155,843.3285236177305,3951528.5188369295,18744.036887998802,18744.036887998802,17.262289869847447,0.7772672974826369,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,21.380892523668344,0.0,680580.6493288634,886.6836503385543,3828074.5720684486,18744.036887998802,18744.036887998802,17.641754412750323,0.7783757024549011,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,21.003464534892245,4488478.216613454,0.0,771.3084757030163,3610077.958522004,18744.036887998802,18744.036887998802,17.592729746739842,0.7775697149442948,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.016750328257874,818084.3701124243,380652.9294355334,748.3426242918015,3319573.5064676367,18744.036887998802,18744.036887998802,17.823357163931213,0.7779190900410207,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,21.240590090079422,0.0,573652.1285865596,845.4812854453236,3226004.5075874813,18744.036887998802,18744.036887998802,18.087997251312743,0.7785008198230279,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,21.456310366097508,0.0,607892.696197226,886.5546463997632,3437335.3966075736,18744.036887998802,18744.036887998802,18.11434593468718,0.7793530332659269,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,21.64532033170019,0.0,635523.1002650824,904.9468789008849,3587421.666029542,18744.036887998802,18744.036887998802,18.15012039987101,0.7789997975085275,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,21.001957975353182,4363065.301488604,0.0,766.8410383134617,3786808.403876514,18744.036887998802,18744.036887998802,17.41926442330838,0.7764648978675819,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,17.384678219060863,0.0,493655.8457525498,611.5275033919061,3600428.1928143,18744.036887998802,18744.036887998802,14.667971160428731,0.7628048599754316,37488.073775997604 
 01/01  21:00:00,-5.0,2.625,16.0018904775065,1180658.0949884448,0.0,526.8022657258412,3264594.8272474967,18744.036887998802,18744.036887998802,13.405560961778706,0.762522629826717,37488.073775997604 
 01/01  22:00:00,-4.15,3.0,16.000000080906922,2951541.0812087525,0.0,460.99715854343856,3090992.200276961,18744.036887998802,18744.036887998802,13.27794762357833,0.7627736900722863,37488.073775997604 
 01/01  23:00:00,-4.0,2.375,16.000000000004466,4005711.022307108,0.0,430.60070387521284,3116541.286901815,18744.036887998802,18744.036887998802,13.570851221357717,0.763750723240124,37488.073775997604 
 01/01  24:00:00,-3.875,2.625,16.0,4560512.164480573,0.0,415.56772933764626,3127083.6181044225,18744.036887998802,18744.036887998802,13.752014030560499,0.7629322450747574,37488.073775997604 
 01/02  01:00:00,-3.925,3.625,16.0,4845265.497495186,0.0,407.9786941760232,3136490.529439952,18744.036887998802,18744.036887998802,13.75195849861631,0.7633105286148067,37488.073775997604 
 01/02  02:00:00,-4.0,3.375,16.0,4983162.743478878,0.0,404.0999203304192,3150490.291001324,18744.036887998802,18744.036887998802,13.754803393298806,0.7638784226090127,37488.073775997604 
 01/02  03:00:00,-4.0,3.625,16.0,5054837.577936174,0.0,402.11121729950884,3150490.2554990742,18744.036887998802,18744.036887998802,13.754803194404108,0.7638784226090127,37488.073775997604 
 01/02  04:00:00,-4.0,3.375,16.0,5091315.28228856,0.0,401.08780394975986,3154772.6481424505,18744.036887998802,18744.036887998802,13.77428744843487,0.7638784227178288,37488.073775997604 
 01/02  05:00:00,-4.0,4.875,16.0,5127163.891412119,0.0,400.56070741660824,3149313.2304819985,18744.036887998802,18744.036887998802,13.749441956105443,0.7638784226090127,37488.073775997604 
 01/02  06:00:00,-4.375,5.375,15.999999999999998,5151052.152566656,0.0,400.288671828405,3203038.210991852,18744.036887998802,18744.036887998802,13.687430113495662,0.7617741968931661,37488.073775997604 
 01/02  07:00:00,-6.1,5.0,16.0,5176620.25448326,0.0,400.14896095500677,3479219.105767679,18744.036887998802,18744.036887998802,13.522374504496689,0.7627374571843629,37488.073775997604 
 01/02  08:00:00,-7.625,3.75,21.03841352974305,13712778.704897199,44121.23557078714,400.0872509540537,4331193.635502359,18744.036887998802,18744.036887998802,16.78122247918566,0.7777702626374096,37488.073775997604 
 01/02  09:00:00,-7.562500000000001,4.25,21.0,9823375.39344321,0.0,400.0508142857114,4327520.807975197,18744.036887998802,18744.036887998802,16.81878879455428,0.7768858253502666,37488.073775997604 
 01/02  10:00:00,-8.3625,4.375,21.0,2514210.655673696,0.0,547.7125727196112,4450602.9308103435,18744.036887998802,18744.036887998802,16.711019366467774,0.7782234819011805,6816288.073775997 
 01/02  11:00:00,-9.0,4.625,21.0,54361.07072688812,295057.89529657195,747.6348717618818,4543895.220366593,18744.036887998802,18744.036887998802,16.6032006066195,0.7798580432122779,8346288.073775997 
 01/02  12:00:00,-8.0,3.75,21.11188499370234,0.0,785130.7644035823,842.3493277933627,4401096.567103738,18744.036887998802,18744.036887998802,16.80030351771756,0.7754845669904935,8346288.073775997 
 01/02  13:00:00,-7.775,3.625,21.377944492176212,0.0,786069.0355684841,886.6278504281893,4406625.130373522,18744.036887998802,18744.036887998802,17.058201298578567,0.777353576541803,8346288.073775997 
 01/02  14:00:00,-7.375,3.375,21.003488164159556,4344189.568150898,0.0,771.3180134052591,4306611.509103942,18744.036887998802,18744.036887998802,16.899365990332978,0.7777048685844459,256368.07377599765 
 01/02  15:00:00,-6.4375,3.0,21.0195888770301,776666.217816575,501870.50874756876,748.8918288733962,4155424.094355713,18744.036887998802,18744.036887998802,16.98998778629864,0.7749027109614306,6816288.073775997 
 01/02  16:00:00,-6.6625,2.375,21.23845950430067,0.0,752408.2478965507,847.2308209689579,4216590.59361282,18744.036887998802,18744.036887998802,17.101715601101777,0.776681034796645,8346288.073775997 
 01/02  17:00:00,-8.25,2.0,21.441947821098438,0.0,797788.4060362665,888.2072685631944,4489372.777119142,18744.036887998802,18744.036887998802,17.05341810819392,0.7793580132320922,8346288.073775997 
 01/02  18:00:00,-8.375,2.0,21.628617749444693,0.0,806637.4822818623,907.0485867159219,4534978.924611928,18744.036887998802,18744.036887998802,17.189379142488264,0.7755627230361124,8346288.073775997 
 01/02  19:00:00,-9.25,2.0,21.00194019254974,4239240.490595712,0.0,769.048047369303,4588826.935729619,18744.036887998802,18744.036887998802,16.61751372686388,0.7744640003769637,37488.073775997604 
 01/02  20:00:00,-10.0,2.0,17.341013286182523,0.0,589201.559169978,612.9914190100684,4266738.523751626,18744.036887998802,18744.036887998802,14.057780187354105,0.7627546123369953,37488.073775997604 
 01/02  21:00:00,-9.3125,2.0,16.00035961741917,1109325.4451812243,0.0,527.828756055054,3926857.69372724,18744.036887998802,18744.036887998802,12.832404509322743,0.7592990939193991,37488.073775997604 
 01/02  22:00:00,-9.5875,1.375,16.000000015992875,2881763.6680646734,0.0,461.7460619580477,3936426.072879467,18744.036887998802,18744.036887998802,12.612487281909921,0.7609008510561797,37488.073775997604 
 01/02  23:00:00,-10.0,1.0,16.000000000000913,3969825.043729402,0.0,431.05702729299355,4056629.781487025,18744.036887998802,18744.036887998802,12.876730604138174,0.7638564099602415,37488.073775997604 
 01/02  24:00:00,-9.25,1.0,16.0,4550185.363655753,0.0,415.8402786106721,3994797.781090222,18744.036887998802,18744.036887998802,13.276761949169638,0.7604585762026164,37488.073775997604 
 01/03  01:00:00,-9.55,1.0,16.0,4863378.223354276,0.0,408.15533684131805,4046698.111910606,18744.036887998802,18744.036887998802,13.269241191260516,0.7619956416392308,37488.073775997604 
 01/03  02:00:00,-10.0,1.0,16.0,5038328.067589014,0.0,404.2076888507125,4124323.959426476,18744.036887998802,18744.036887998802,13.256706210678242,0.764279270191828,37488.073775997604 
 01/03  03:00:00,-9.6875,1.625,16.000000000000004,5144371.0552050425,0.0,402.1766293938355,4074622.7188417832,18744.036887998802,18744.036887998802,13.290287487190485,0.7608864714267126,37488.073775997604 
 01/03  04:00:00,-10.4375,2.625,16.0,5228855.433144346,0.0,401.1293841429352,4192295.867869001,18744.036887998802,18744.036887998802,13.203776639560262,0.7622803633053556,37488.073775997604 
 01/03  05:00:00,-11.0,2.375,16.0,5288693.765234901,0.0,400.5853830823343,4288534.1392516475,18744.036887998802,18744.036887998802,13.183272740314706,0.7643421864183877,37488.073775997604 
 01/03  06:00:00,-10.3125,2.625,16.0,5331205.209378955,0.0,400.30383801043104,4178111.4469764913,18744.036887998802,18744.036887998802,13.247857871180763,0.7611191002108504,37488.073775997604 
 01/03  07:00:00,-10.5875,2.375,16.0,5373610.730297557,0.0,400.1580372159858,4217718.369115578,18744.036887998802,18744.036887998802,13.196412743865226,0.7624061602213731,37488.073775997604 
 01/03  08:00:00,-11.625,2.0,16.0,5423374.897969033,0.0,400.0821514200104,4393300.502852482,18744.036887998802,18744.036887998802,13.146546918110674,0.7643864312140483,37488.073775997604 
 01/03  09:00:00,-11.624999999999998,2.0,16.0,5442409.809702561,0.0,400.0427560605751,4397086.707324112,18744.036887998802,18744.036887998802,13.166320752215126,0.7611600967206855,37488.073775997604 
 01/03  10:00:00,-11.15,3.25,16.0,5324725.426527038,0.0,400.0222626515637,4313897.098066244,18744.036887998802,18744.036887998802,13.171459872633337,0.7624149391537682,37488.073775997604 
 01/03  11:00:00,-11.0,5.25,16.0,5278609.673229501,0.0,400.011523496996,4292554.265213988,18744.036887998802,18744.036887998802,13.200507036636193,0.7643421864183877,37488.073775997604 
 01/03  12:00:00,-10.5625,4.125,16.0,5344471.25849424,0.0,400.0059594255373,4224087.25265546,18744.036887998802,18744.036887998802,13.250860992088564,0.7609439671210337,37488.073775997604 
 01/03  13:00:00,-9.4875,3.625,16.0,5430285.453529817,0.0,400.0030991191728,4039542.6647573174,18744.036887998802,18744.036887998802,13.2878850097085,0.7622175781134507,37488.073775997604 
 01/03  14:00:00,-8.375,3.375,16.0,5482590.946671385,0.0,400.0016100519594,3858569.3419410824,18744.036887998802,18744.036887998802,13.381375398007572,0.764164278748694,37488.073775997604 
 01/03  15:00:00,-7.375,3.625,16.0,5532518.443137444,0.0,400.0008369723916,3694946.591819973,18744.036887998802,18744.036887998802,13.45809591211646,0.7640984442361574,37488.073775997604 
 01/03  16:00:00,-6.375,4.625,16.0,5590362.159788376,0.0,400.0004350749654,3528393.4348364053,18744.036887998802,18744.036887998802,13.522048793878287,0.7640355680195539,37488.073775997604 
 01/03  17:00:00,-6.625,3.75,16.0,5636120.361053547,0.0,400.00022625264467,3570439.3817185536,18744.036887998802,18744.036887998802,13.507783813635221,0.7640512860763472,37488.073775997604 
 01/03  18:00:00,-6.6875,3.625,16.0,5658177.7993109375,0.0,400.0001179385151,3587201.978349521,18744.036887998802,18744.036887998802,13.534089175049589,0.7620671705379775,37488.073775997604 
 01/03  19:00:00,-6.8125,4.0,16.0,5667413.464653447,0.0,400.0000615233845,3602940.8967818934,18744.036887998802,18744.036887998802,13.499419980222774,0.762869403948948,37488.073775997604 
 01/03  20:00:00,-6.375,4.625,16.0,5667666.811264911,0.0,400.0000320459116,3528393.4348364053,18744.036887998802,18744.036887998802,13.522048793878286,0.764035568128408,37488.073775997604 
 01/03  21:00:00,-6.0625,5.625,16.0,5671169.32813058,0.0,400.0000166705055,3479380.5624736072,18744.036887998802,18744.036887998802,13.557160213711242,0.7624099750370369,37488.073775997604 
 01/03  22:00:00,-6.0375,6.0,16.0,5670960.041292135,0.0,400.0000086679542,3471450.981803278,18744.036887998802,18744.036887998802,13.538749394243219,0.7630502441411444,37488.073775997604 
 01/03  23:00:00,-6.625,6.0,16.0,5675356.093427319,0.0,400.00000450183046,3570439.395154219,18744.036887998802,18744.036887998802,13.507783889010717,0.7640512860763516,37488.073775997604 
 01/03  24:00:00,-7.0625,5.375,16.0,5672878.192659472,0.0,400.00000233947515,3646192.596306331,18744.036887998802,18744.036887998802,13.494033876549356,0.7626681487991098,37488.073775997604 
 01/04  01:00:00,-7.6625,4.375,16.0,5668484.307026077,0.0,400.0000012184014,3741320.2756308354,18744.036887998802,18744.036887998802,13.431472226066102,0.7632696633413116,37488.073775997604 
 01/04  02:00:00,-8.0,4.0,16.0,5670338.802848484,0.0,400.0000006347886,3797138.1225421657,18744.036887998802,18744.036887998802,13.409732419135462,0.7641377465457599,37488.073775997604 
 01/04  03:00:00,-7.75,4.625,16.0,5680605.3021346945,0.0,400.00000033070825,3756939.3156669503,18744.036887998802,18744.036887998802,13.432948457014755,0.7632350164905181,37488.073775997604 
 01/04  04:00:00,-7.225,3.75,16.0,5675707.936032182,0.0,400.00000017231673,3666616.6070224326,18744.036887998802,18744.036887998802,13.451893311628638,0.7635566726051142,37488.073775997604 
 01/04  05:00:00,-7.0,4.25,16.0,5689614.654963808,0.0,400.00000008983,3626249.862692123,18744.036887998802,18744.036887998802,13.454326252680344,0.7640748639699293,37488.073775997604 
 01/04  06:00:00,-6.812499999999999,4.375,16.0,5702432.68800965,0.0,400.0000000467832,3596400.162814045,18744.036887998802,18744.036887998802,13.472211968568686,0.7642763318739967,37488.073775997604 
 01/04  07:00:00,-6.8875,4.0,16.0,5712570.9824997205,0.0,400.00000002437935,3613161.0183549114,18744.036887998802,18744.036887998802,13.48679807159854,0.764195736321708,37488.073775997604 
 01/04  08:00:00,-7.0,4.625,16.0,5735571.725341525,0.0,400.00000001270803,3632493.4615085186,18744.036887998802,18744.036887998802,13.482039389769554,0.7640748640788013,37488.073775997604 
 01/04  09:00:00,-6.6875,5.0,16.0,5751474.710645635,0.0,400.0000000066193,3580068.347459749,18744.036887998802,18744.036887998802,13.499542058496543,0.7648962761197708,37488.073775997604 
