Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,9.280153598591703,0.0,0.0,848.7440901647201,0.0,0.0,0.0,-7.05,0.0,0.0 
 01/01  02:00:00,-9.625,1.375,8.096554465787852,0.0,0.0,839.7333636645558,0.0,0.0,0.0,-9.625,0.0,0.0 
 01/01  03:00:00,-9.0625,1.625,7.05675699543632,0.0,0.0,831.0640215564204,0.0,0.0,0.0,-9.0625,0.0,0.0 
 01/01  04:00:00,-10.0625,0.75,6.117934452139929,0.0,0.0,822.5762077433145,0.0,0.0,0.0,-10.0625,0.0,0.0 
 01/01  05:00:00,-11.0,0.0,5.253157357913485,0.0,0.0,814.4010718390201,0.0,0.0,0.0,-11.0,0.0,0.0 
 01/01  06:00:00,-9.625,1.25,4.477503620677259,0.0,0.0,806.3941897831239,0.0,0.0,0.0,-9.625,0.0,0.0 
 01/01  07:00:00,-9.55,1.375,3.76920351837741,0.0,0.0,798.4545242876301,0.0,0.0,0.0,-9.55,0.0,0.0 
 01/01  08:00:00,-10.625,1.0,21.03616570086525,28006247.638543513,723220.8471902705,792.9132463613271,0.0,0.0,0.0,-10.625,0.0,0.0 
 01/01  09:00:00,-8.75,1.625,21.0,16612795.181976348,0.0,788.2616747311886,0.0,0.0,0.0,-8.75,0.0,0.0 
 01/01  10:00:00,-9.025,1.375,21.0,5222976.477650557,0.0,822.1769348091934,4658077.537504468,18744.036887998802,18744.036887998802,17.214726977154974,0.7792444961535647,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,21.0,981078.2181944188,0.0,872.9831342624893,4450814.021366127,18744.036887998802,18744.036887998802,16.946615843823768,0.7804827163673851,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,21.0,0.0,335027.69044394686,899.0491789976418,3940998.35819289,18744.036887998802,18744.036887998802,17.203158414330133,0.7775579525503383,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,21.097531473659078,0.0,671735.484862707,911.7536730074396,3786780.696388542,18744.036887998802,18744.036887998802,17.410150797380744,0.7781831206710318,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,21.00476978717801,4898249.686053541,0.0,787.7471692985239,3608179.9815496365,18744.036887998802,18744.036887998802,17.58202908687298,0.7789694123071627,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.000000464347956,905168.2185445047,226452.69793495824,757.7462091443604,3319337.2207175605,18744.036887998802,18744.036887998802,17.82199346595816,0.7781817472436644,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,21.117202625652943,0.0,567895.3541334637,849.411984643456,3209863.898051671,18744.036887998802,18744.036887998802,17.997601723130288,0.7784585322053585,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,21.314839562025885,0.0,603535.3391611858,888.3625170316151,3416584.6936333515,18744.036887998802,18744.036887998802,17.998037220288893,0.7792144070321816,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,21.488943985882024,0.0,630929.9805222191,905.8243336066134,3564219.2483747005,18744.036887998802,18744.036887998802,18.020033655087552,0.7787768971526771,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,21.001126661790572,4678430.90067673,0.0,903.8183764979933,0.0,0.0,0.0,-3.9125,0.0,0.0 
 01/01  20:00:00,-5.625,2.375,17.632617362344746,0.0,0.0,896.0160095667243,0.0,0.0,0.0,-5.625,0.0,0.0 
 01/01  21:00:00,-5.0,2.625,15.25318876670088,0.0,0.0,887.9085557889798,0.0,0.0,0.0,-5.0,0.0,0.0 
 01/01  22:00:00,-4.15,3.0,13.502760244885867,0.0,0.0,877.5852523158285,0.0,0.0,0.0,-4.15,0.0,0.0 
 01/01  23:00:00,-4.0,2.375,11.954235008794175,0.0,0.0,867.6374880008085,0.0,0.0,0.0,-4.0,0.0,0.0 
 01/01  24:00:00,-3.875,2.625,10.560902104646832,0.0,0.0,858.1534192359909,0.0,0.0,0.0,-3.875,0.0,0.0 
 01/02  01:00:00,-3.925,3.625,9.30008129662343,0.0,0.0,848.5525823950051,0.0,0.0,0.0,-3.925,0.0,0.0 
 01/02  02:00:00,-4.0,3.375,8.157215438139218,0.0,0.0,838.9076011634234,0.0,0.0,0.0,-4.0,0.0,0.0 
