Hour,T_out_C,T_in_C,CO2_ppm
110,-10.0,4.631220699211784,860.5295893598266
111,-10.0,4.717965977315014,900.2522422375387
112,-11.25,4.780877351402858,918.1592566865892
113,-11.437500000000002,4.853518819071393,926.8975208379904
114,-11.6625,3.1001562367093194,810.96594114827
115,-12.625,2.709681265265677,603.1750252514275
116,-12.5625,2.6160803501437933,492.6830820662245
117,-13.9875,2.507790230313188,442.95345842508647
118,-15.625,2.3640756065126207,419.84051470858
119,-14.625,2.2517083000043217,409.17139057879984
120,-15.8,2.102010946807087,404.25868154907823
121,-17.0,1.9239061910612876,401.9689016840962
122,-15.687499999999998,1.7860161397330725,400.91145518625865
123,-17.4625,1.5934448216587167,400.4243956389618
124,-19.0,1.3752766142227268,400.1964618477805
125,-17.4375,1.216501238834365,400.09105805068987
126,-18.6875,1.014411114376123,400.0424696346772
127,-20.625,0.7757517445157132,400.0196891894263
128,-19.125,0.6031922772097755,400.0091388401309
129,-19.25,2.2894468317940406,520.5855195364104
130,-20.0,2.467302248290759,731.2505022439402
131,-16.4375,2.4367635158832166,844.4359343900362
132,-15.3625,0.9450078766118672,790.0335469033188
133,-15.375,2.0427118249619047,787.4915820585411
134,-11.499999999999998,2.293766416525997,866.2918615519999
135,-12.275,2.34216960200338,908.0690850141974
136,-14.625,2.364289381154321,925.11851458859
137,-14.125000000000002,2.4551644973690427,933.781362252708
138,-15.1,0.702141542148669,817.9218686985379
139,-17.25,0.2986254446611901,608.4694564582194
140,-16.625,0.2184448861699664,496.34235640640304
141,-17.8,0.1162383230553378,445.0856587889547
142,-20.25,-0.0389960478480436,420.95723583224014
143,-18.5,-0.1347591485196517,409.7463432709742
144,-18.875,-0.2606209209110264,404.5566169238046
145,-20.625,-0.4494888382711358,402.1198598434594
146,-18.5,-0.5821511434614612,400.9868937850684
147,-19.5,-0.7603371819278233,400.4616935266382
148,-19.125,-0.9490828217746158,400.2150775390411
149,-18.4375,-1.121561625127955,400.1002683537397
150,-18.2625,-1.3126986271294463,400.0468688366012
151,-18.625,-1.5062734838534515,400.02187057310255
152,-21.1875,-1.747417390774996,400.0102155741055
153,-19.0625,-0.046381355151142,520.7509864151934
154,-16.375,0.2251843129749422,732.5345674732912
