=== ОГЛЯД СИМУЛЯЦІЇ ===

Годин розрахунку: 8760

Показник: T_out_C
  Мін: -21.19
  Макс: 32.50
  Середнє: 9.71

Показник: T_in_C
  Мін: -2.04
  Макс: 34.90
  Середнє: 17.87

Показник: CO2_ppm
  Мін: 400.00
  Макс: 935.48
  Середнє: 523.53

=== ДАНІ (ТІЛЬКИ КОЖЕН 24-й КРОК ДЛЯ ОГЛЯДУ) ===
      T_out_C     T_in_C     CO2_ppm
3912  20.5625  30.253349  402.028716
3936  18.8625  28.614945  400.000000
3960  17.9250  29.508105  400.000000
3984  19.3000  28.692544  402.095017
4008  21.3000  27.901941  402.154097
4032  20.1625  29.383282  402.179693
4056  18.4625  31.291592  402.101562
4080  21.9375  27.793417  402.443382
4104  19.3500  28.714331  400.000000
4128  21.6000  30.698966  400.000000
4152  15.3750  28.339452  402.202097
4176  11.1500  22.691345  402.572681
4200  10.4250  20.955019  402.127853
4224  15.0875  22.499963  402.103205
4248  18.4500  24.080376  401.996950
4272  20.0000  24.333668  400.000000
4296  22.3375  23.103015  400.000000
4320  21.3000  22.857207  402.368566
4344  17.9125  21.994623  402.611558
4368  15.7875  24.089908  402.304745
4392  14.4250  20.004023  403.058474
4416  16.1125  22.374920  402.575519
4440  14.9875  19.729819  400.000000
4464  15.5375  22.419826  400.000000
4488  17.6875  25.814645  402.521918
4512  19.2000  27.089185  402.699515
4536  19.3375  26.439956  402.575172
4560  19.1875  22.870259  402.675149
4584  16.0500  21.824403  401.993604
4608  19.1125  21.875984  400.000000
4632  19.1125  23.702603  400.000000
4656  19.4500  26.218529  402.365938
4680  19.6750  28.405444  402.232299
4704  18.7500  30.165661  402.182544
4728  22.6375  31.196980  402.056711
4752  22.8250  32.396688  401.978954
4776  19.7500  27.296739  400.000000
4800  17.6000  25.688253  400.000000
4824  18.6375  26.535331  402.336329
4848  15.7875  24.544565  402.380197
4872  18.3000  25.024433  402.452021
4896  18.6375  25.581443  402.346666
4920  19.8250  27.593700  402.258354
4944  20.4875  29.168117  400.000000
4968  17.9875  30.222356  400.000000
4992  22.8625  31.389982  402.162485
5016  19.8625  32.424522  402.072961
5040  17.6875  32.644793  402.398705
5064  20.9375  32.923397  402.071302
5088  18.6625  33.072663  402.321957
5112  16.6000  30.586794  400.000000
5136  15.7000  27.698388  400.000000
5160  13.9125  24.637872  402.499818
5184  16.7125  25.963547  402.488012
5208  19.6375  28.256520  402.362018
5232  18.8750  30.473434  402.216571
5256  19.0625  32.037947  402.133596
5280  23.3750  32.410218  400.000000
5304  18.5750  31.807092  400.000000
5328  18.9000  31.139534  402.128882
5352  17.6750  28.966997  402.165481
5376  19.4125  26.924123  402.623621
5400  12.7500  25.401238  402.383038
5424  13.4625  24.159554  402.564109
5448  11.2750  23.561237  400.000000
5472  11.9625  23.911698  400.000000
5496  15.4125  25.754884  402.517337
5520  14.7500  27.641092  402.388408
5544  18.1125  29.439449  402.285687
5568  18.2500  30.841485  402.170588
5592  21.0875  31.747949  402.050282
5616  19.4500  30.275362  400.000000
5640  16.6375  26.771735  400.000000
5664  21.0000  27.974259  402.345823
5688  19.8875  26.836591  402.539803
5712  16.1500  24.363132  401.817790
5736  18.3000  24.906952  402.495188
5760  15.3750  24.180718  402.542866
5784  13.3875  21.961290  400.000000
5808  21.1750  24.113470  400.000000
5832  16.5125  27.500672  402.354619
5856  11.9625  24.879236  402.851500
5880  13.7125  24.408756  402.599203
5904  15.3875  25.304589  402.527943
5928  14.1375  26.085724  402.431749
5952  17.5000  26.377587  400.000000
5976  20.0875  27.310180  400.000000
6000  16.2750  27.898053  402.299447
6024  12.2000  27.738331  402.362585
6048  14.3625  27.147378  402.374252
6072  14.3500  26.416275  402.767389
6096  15.9750  25.851213  402.848272
6120  16.6125  26.395465  400.000000
6144  16.7250  27.359284  400.000000
6168  15.1500  27.776995  402.226792
6192  10.0625  25.762440  401.834156
6216   9.1500  23.706650  402.027537
6240  13.6750  23.532301  402.019299
6264  10.7125  23.066190  401.990068
6288   8.1125  20.694199  400.000000
6312   7.6750  19.155185  400.000000
6336   9.9625  18.000000  403.211031
6360   8.1875  18.000000  402.448359
6384   6.6375  18.000000  402.405061
6408   7.7875  17.131258  402.519637
6432  10.8500  18.000000  402.537487
6456   9.7750  18.000000  400.000000
6480   8.9000  17.620134  400.000000
6504   8.0500  18.000000  402.490480
6528  11.2250  18.000000  402.491462
6552   4.6000  18.000000  402.442459
6576  14.0375  18.000000  402.418062
6600   5.2625  17.428938  402.483789
6624   6.9125  17.644317  400.000000
6648  11.7000  18.000000  400.000000
