Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,16.0,441159.15418493457,0.0,403.6403072983644,3494020.6780409776,18744.036887998802,18744.036887998802,12.64728883986663,0.7539874014649108,1078673.2207569368 
 01/01  02:00:00,-9.625,1.375,16.0,527766.2362903975,0.0,401.61251143456104,3882123.2932290607,18744.036887998802,18744.036887998802,12.261094721110716,0.7543544025467808,1234051.6469816011 
 01/01  03:00:00,-9.0625,1.625,16.0,569428.8470393016,0.0,400.7160886777792,3796870.2908023326,18744.036887998802,18744.036887998802,12.345514866665535,0.7492657753204174,1260286.4145693942 
 01/01  04:00:00,-10.0625,0.75,16.0,623309.0285119633,0.0,400.3192185948374,3947105.2831054414,18744.036887998802,18744.036887998802,12.195558886240068,0.7509354013775742,1340675.0868600516 
 01/01  05:00:00,-11.0,0.0,16.0,676044.8009095256,0.0,400.14185963670474,4088746.6803841875,18744.036887998802,18744.036887998802,12.05497290062955,0.7535686490610098,1418239.5098815807 
 01/01  06:00:00,-9.625,1.25,16.0,699560.5405579946,0.0,400.0630616439858,3881484.379806039,18744.036887998802,18744.036887998802,12.26125095532201,0.7493598723041296,1404669.7258578523 
 01/01  07:00:00,-9.55,1.375,16.0,734199.9659288517,0.0,400.0281049733385,3869902.850624791,18744.036887998802,18744.036887998802,12.272526989341724,0.7507368403420339,1437106.2767728078 
 01/01  08:00:00,-10.625,1.0,20.800697166280788,9594386.923389468,0.0,400.0155240706126,4736155.072251107,18744.036887998802,18744.036887998802,16.06506761613548,0.7649475742553011,10477055.113346638 
 01/01  09:00:00,-8.75,1.625,20.999999999641858,9346690.394296596,0.0,400.0073237527994,4507110.236997917,18744.036887998802,18744.036887998802,16.642564084859075,0.7627701509379389,10161701.869735861 
 01/01  10:00:00,-9.025,1.375,20.999999999999996,4337560.963644897,0.0,559.2507831073734,4548401.1810306925,18744.036887998802,18744.036887998802,16.60128404400612,0.7644731301579296,11939020.060361842 
 01/01  11:00:00,-8.125,1.625,20.999999999999996,3176308.3791986825,0.0,755.9090666744985,4412985.598278085,18744.036887998802,18744.036887998802,16.736153612799033,0.7671550709195525,12284762.428901564 
 01/01  12:00:00,-5.000000000000001,2.625,21.0,2965155.879644419,0.0,838.7053534149074,3940998.35819289,18744.036887998802,18744.036887998802,17.204781164662624,0.765557451389852,11990728.941774517 
 01/01  13:00:00,-3.925,3.625,21.0,2821040.346610182,0.0,874.3468312446474,3778632.3748958125,18744.036887998802,18744.036887998802,17.36592646223461,0.7671228144252541,11818526.86231882 
 01/01  14:00:00,-2.75,4.0,21.0,8082777.748971529,0.0,745.3274112699967,3600819.076486759,18744.036887998802,18744.036887998802,17.542126632236272,0.7685066102895268,8959109.071597964 
 01/01  15:00:00,-0.8750000000000001,4.625,21.0,3528575.0935099246,0.0,718.1662324162564,3319336.413294045,18744.036887998802,18744.036887998802,17.82337075256456,0.7678233138251593,10914349.90793033 
 01/01  16:00:00,-0.075,4.375,21.0,2500873.4171088804,0.0,822.4063537191951,3199932.648362007,18744.036887998802,18744.036887998802,17.943267610164146,0.7687946051370872,11395733.265971655 
 01/01  17:00:00,-1.25,4.625,21.0,2440979.702995631,0.0,864.7572942411447,3375143.356177854,18744.036887998802,18744.036887998802,17.766946548448402,0.7699074050972323,11368046.11018287 
 01/01  18:00:00,-2.0625,3.75,20.999999999999996,2353412.843809454,0.0,882.869493339278,3497131.679548457,18744.036887998802,18744.036887998802,17.645017581647608,0.7697382019002907,11302784.202747319 
 01/01  19:00:00,-3.9125,3.0,20.999999999999996,7942887.130810512,0.0,733.5811030722807,3777398.0993069117,18744.036887998802,18744.036887998802,17.36751180307313,0.7699035321505491,8633386.614987124 
 01/01  20:00:00,-5.625,2.375,16.661468726215038,128300.63220296986,276581.16787673323,577.0263269600947,3414490.0007730518,18744.036887998802,18744.036887998802,13.626327506785856,0.7564719035791854,434207.82018749823 
 01/01  21:00:00,-5.0,2.625,16.00000077335526,212882.94283065564,0.0,496.3435900333522,3183983.55619337,18744.036887998802,18744.036887998802,12.95456805584921,0.7551497659507449,796800.4688209252 
 01/01  22:00:00,-4.15,3.0,16.00000000002401,292482.68036460836,0.0,441.941645900149,3055873.720235679,18744.036887998802,18744.036887998802,13.082127442622431,0.7549322193337112,853085.5916598897 
 01/01  23:00:00,-4.0,2.375,16.0,343286.03381420544,0.0,418.56158069719015,3033169.883292785,18744.036887998802,18744.036887998802,13.104687412784111,0.7550143053873375,899492.8814596061 
