Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,20.0,0.003474459823225632,1036720.2975110146,0.0,403.4472590100804,295.03671638982166,4100370.242349287,18744.036887998802,18744.036887998802,16.046409654627755,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,20.0,0.003386163833568519,1102238.7248643846,0.0,401.58413557713516,135.5796466020165,4488113.795769166,18744.036887998802,18744.036887998802,15.660151755641419,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,20.0,0.0034248346647535585,1124980.9980405434,0.0,400.7307216063891,62.53945596473757,4402855.006653078,18744.036887998802,18744.036887998802,15.744510177699558,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,20.0,0.0033700908022979755,1158588.530645196,0.0,400.3381325290977,28.939372024467353,4552898.592074502,18744.036887998802,18744.036887998802,15.594503795453392,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,20.0,0.003340995525512895,1192468.7534258338,0.0,400.1563424133644,13.380703937680297,4694486.929329993,18744.036887998802,18744.036887998802,15.453868473637035,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,20.0,0.003401284205940515,1199903.2501526135,0.0,400.0723261232375,6.190095324575157,4487375.779410874,18744.036887998802,18744.036887998802,15.660103247551891,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,20.0,0.0033965019115414687,1218603.5789656944,0.0,400.0334966697846,2.866842155244797,4475759.056009987,18744.036887998802,18744.036887998802,15.671347862644119,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,20.0,0.0033688019311711335,1252392.3200499597,0.0,400.01549242915524,1.3259332726206476,4637504.789978161,18744.036887998802,18744.036887998802,15.51009510221167,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,19.999999999999996,0.0034125437045371193,1232154.1273696176,0.0,400.00716964993705,0.6136208408190249,4355609.360881848,18744.036887998802,18744.036887998802,15.791331149159952,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.321167032262903,0.003386779779376072,0.0,833612.2438570764,509.9579080897872,0.32117373446969555,4568514.412014616,18744.036887998802,18744.036887998802,16.71307228656538,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,22.286104168233866,0.0033910006691969695,0.0,817546.2228152705,699.4950033122782,0.16311115250396793,4596731.039668012,18744.036887998802,18744.036887998802,17.76587362087116,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,22.44507779182275,0.003496051291382381,0.0,730920.6339211677,812.3808547693236,0.06952464729743789,4154888.244057383,18744.036887998802,18744.036887998802,18.403298182236508,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,22.531585499136433,0.003675315484011584,0.0,700891.3366174488,859.494755137368,0.030057341669981936,4008797.2331217364,18744.036887998802,18744.036887998802,18.655619659977532,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,20.248198813374422,0.0037404328003496296,384161.6307895157,172838.67165437288,769.3108768000217,0.016454157598915237,3513903.2493992774,18744.036887998802,18744.036887998802,17.054128556144207,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.646804255155555,0.0038865072916282727,0.0,630731.0138548615,725.5714513737953,0.009032678777986889,3378844.2685621153,18744.036887998802,18744.036887998802,18.15572296270494,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,22.61694493708108,0.0038020810604345264,0.0,605036.8350503308,807.1933609719151,0.004553998838861155,3436771.273491772,18744.036887998802,18744.036887998802,19.26852189092907,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,22.668779338618627,0.003889464334821533,0.0,629862.4959798779,855.9990116969758,0.0019269212264621763,3628109.9576000813,18744.036887998802,18744.036887998802,19.183879549287784,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,22.70383545065216,0.0036827599286197226,0.0,655224.9999639434,876.2238143213114,0.0008264624865735667,3753016.146696767,18744.036887998802,18744.036887998802,19.078883305988825,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,20.28701367195218,0.003536996234808504,413831.88929940027,209238.42952090665,765.3099966649266,0.00045102511179295567,3695679.815287682,18744.036887998802,18744.036887998802,16.908929720647567,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,20.00000002397543,0.0034540590055991455,772436.6177833736,0.0,576.240146216558,0.00021572333090763782,3884276.528062819,18744.036887998802,18744.036887998802,16.2602196273233,37488.073775997604 
 01/01  21:00:00,-5.0,2.625,20.000000000001165,0.003489003758008023,864590.1611470308,0.0,479.85164208522554,0.00009780300121434236,3790456.8306626594,18744.036887998802,18744.036887998802,16.35395963175986,37488.073775997604 
 01/01  22:00:00,-4.15,3.0,20.0,0.0035400789580765204,912391.133856752,0.0,436.39872170770593,0.00004457929308796405,3662498.8132464625,18744.036887998802,18744.036887998802,16.48144426237246,37488.073775997604 
 01/01  23:00:00,-4.0,2.375,20.0,0.0034322063403679965,943260.4099026183,0.0,416.58782793386945,0.000020315998772896268,3639803.8599513387,18744.036887998802,18744.036887998802,16.503931558742178,37488.073775997604 
 01/01  24:00:00,-3.875,2.625,20.0,0.00347374885523138,984677.9515987424,0.0,407.57717313315095,0.000009280166044587055,3621446.64083251,18744.036887998802,18744.036887998802,16.522665529512427,37488.073775997604 
 01/02  01:00:00,-3.925,3.625,20.0,0.00366931427649314,1039366.4593821869,0.0,403.4817117636018,0.000004264237251694032,3629602.43079153,15864.2432616142,15864.2432616142,16.50416979326255,31728.4865232284 
 01/02  02:00:00,-4.0,3.375,20.0,0.003612405598440292,1063275.15216026,0.0,401.8615394067987,0.000002279926143162347,3641102.768720114,4861.830076253407,4861.830076253407,16.445632170587118,9723.660152506814 
 01/02  03:00:00,-4.0,3.625,20.0,0.003667572880541937,1095405.0553700603,0.0,401.2284285809501,0.0000015045217021352272,3641102.7687201137,2412.3324171999047,2412.3324171999047,16.432822385099964,4824.6648343998095 
 01/02  04:00:00,-4.0,3.375,20.0,0.003611610840682202,1113486.3806846244,0.0,400.8848389560181,0.0000010837092468094928,3642031.0955001223,1720.3988863873278,1720.3988863873278,16.430034904134878,3440.7977727746556 
 01/02  05:00:00,-4.0,4.875,20.0,0.0040225127514351726,1179699.7895541736,0.0,400.66987916702396,8.204365807034652e-7,3640847.7069176044,1429.8091894827116,1429.8091894827116,16.43007199924095,2859.6183789654233 
 01/02  06:00:00,-4.375,5.375,20.0,0.0041836889875563376,1225420.651652474,0.0,400.5198961027397,6.367443590575477e-7,3695277.0241921395,1275.1878617984078,1275.1878617984078,16.37493028015108,2550.3757235968155 
 01/02  07:00:00,-6.1,5.0,20.0,0.004081394272185991,1270668.5837252215,0.0,400.4136727389935,5.066469659263994e-7,3954474.8585943347,1184.0587948655677,1184.0587948655677,16.117699246505698,2368.1175897311355 
 01/02  08:00:00,-7.625,3.75,20.0,0.003758236916686517,1281534.392839806,0.0,400.33536012633533,4.1073335147469797e-7,4184756.1766938,1125.6167588526719,1125.6167588526719,15.890580144299996,2251.2335177053437 
 01/02  09:00:00,-7.562500000000001,4.25,20.0,0.0039011629868561854,1306958.726468552,0.0,400.27625850543916,3.383484585729382e-7,4176010.153718971,1085.9669775537895,1085.9669775537895,15.901541761343655,2171.933955107579 
 01/02  10:00:00,-8.3625,4.375,21.578528735299614,0.0039333874368218,0.0,198057.092407458,525.4227931217592,2.8711342376605994e-7,4500590.186903423,1371.3510031412334,1371.3510031412334,16.92170404989512,6781542.702006282 
 01/02  11:00:00,-9.0,4.625,22.377395446021264,0.0040060276971818215,0.0,531986.66956072,767.1351122513928,2.0442736301160888e-7,4751749.626462072,6442.6901394150545,6442.6901394150545,17.719240438037314,8321685.3802788295 
 01/02  12:00:00,-8.0,3.75,22.366347418005457,0.0037835523073163216,0.0,763937.6704950653,873.4496185865269,1.0111038264585805e-7,4597175.998741175,15968.442726957664,15968.442726957664,17.890894598019344,8340736.885453915 
 01/02  13:00:00,-7.775,3.625,22.424441544046047,0.0037355895229905334,0.0,800243.8127959447,889.70754743965,4.41819835928799e-8,4572954.45309652,18568.749723341094,18568.749723341094,17.991418993638185,8345937.499446683 
