Volume_m3,Wall_Material,Occupants,Recuperator_Eff,Mean_T_out,Mean_T_in,Final_CO2
240.58124999999998,Бетон,5,85.0,9.705646404109588,17.865748905864514,407.4761479915434
240.58124999999998,Бетон,5,85.0,9.705646404109588,19.673887737263435,407.7325134572086
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.42340527377083,408.5504818602402
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.878518167900147,407.1582866713367
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.878518167900147,407.1582866713367
240.58124999999998,Бетон,5,85.0,9.705646404109588,20.309731104702415,410.726392336921
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.24274629614592,412.7081846142276
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.24274629614592,412.7081846142276
240.58124999999998,Бетон,5,85.0,9.705646404109588,20.606360757395716,410.15598618924713
240.58124999999998,Бетон,5,85.0,9.705646404109588,20.606360757395716,410.15598618924713
240.58124999999998,Бетон,5,85.0,9.705646404109588,18.532918124729733,847.2770185121257
240.58124999999998,Бетон,5,85.0,9.705646404109588,18.532918124729733,847.2770185121257
240.58124999999998,Бетон,5,85.0,9.705646404109588,20.54487942294421,765.1370707965104
240.58124999999998,Бетон,5,85.0,9.705646404109588,21.84808025337841,408.52991814353913
240.58124999999998,Бетон,5,85.0,9.705646404109588,21.84808025337841,408.52991814353913
240.58124999999998,Бетон,5,85.0,9.705646404109588,21.84808025337841,408.52991814353913
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.119763962902997,408.0940315874668
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.119763962902997,408.0940315874668
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.119763962902997,408.0940315874668
240.58124999999998,Бетон,5,85.0,9.705646404109588,22.119763962902997,408.0940315874668
