Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,12.220760790928583,17507520.451078527,0.0,403.31447885994754,2926174.2255357313,18744.036887998802,18744.036887998802,9.46336091137827,0.7428603137415446,18037488.073776 
 01/01  02:00:00,-9.625,1.375,12.12167277051006,17438942.113054425,0.0,401.48586177355133,3297222.2078822474,18744.036887998802,18744.036887998802,8.979575330345773,0.7431432747863437,18037488.073776 
 01/01  03:00:00,-9.0625,1.625,12.072803195515316,17454262.557295714,0.0,400.6677853389486,3203374.9840852665,18744.036887998802,18744.036887998802,9.015724242282587,0.7381562354079838,18037488.073776 
 01/01  04:00:00,-10.0625,0.75,11.997764348330628,17432109.84628222,0.0,400.3012453886041,3344909.5409523877,18744.036887998802,18744.036887998802,8.81586214735004,0.7397376361258187,18037488.073776 
 01/01  05:00:00,-11.0,0.0,11.897082973642418,17409441.140042815,0.0,400.1354976430356,3470946.4829037283,18744.036887998802,18744.036887998802,8.58738150310544,0.7421829437125236,18037488.073776 
 01/01  06:00:00,-9.625,1.25,11.813516200075856,17448029.05379487,0.0,400.06097368994534,3250309.073901912,18744.036887998802,18744.036887998802,8.719455610584887,0.7379181711385352,18037488.073776 
 01/01  07:00:00,-9.55,1.375,11.700973204675307,17455338.55194291,0.0,400.0275112438138,3223923.569822997,18744.036887998802,18744.036887998802,8.64743184024747,0.7390652704524012,18037488.073776 
 01/01  08:00:00,-10.625,1.0,11.552346349793849,17431273.32120375,0.0,400.01238192895994,3364088.1797158164,18744.036887998802,18744.036887998802,8.363424586530135,0.7409564030129202,18037488.073776 
 01/01  09:00:00,-8.75,1.625,11.440656528013417,17481501.915715188,0.0,400.0055749812007,3061675.2717991364,18744.036887998802,18744.036887998802,8.532973236225248,0.7375809420430564,18037488.073776 
 01/01  10:00:00,-9.025,1.375,13.027531198866502,17390975.042522166,0.0,504.7854785875884,3302806.2014598865,18744.036887998802,18744.036887998802,9.61243288043897,0.742482443121523,24816288.073776 
