Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,21.0,6534528.019675283,0.0,408.17882978359285,4251957.6334263645,18744.036887998802,18744.036887998802,16.895723064448113,0.7790132794551072,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,21.0,6573423.474543462,0.0,404.40515057185837,4639611.421404193,18744.036887998802,18744.036887998802,16.509482188406064,0.7797459580591308,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,21.0,6583554.794606453,0.0,402.37730513707027,4554351.185615765,18744.036887998802,18744.036887998802,16.5938581125762,0.7748087275998674,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,20.999999999999996,6595293.519771205,0.0,401.28554542484073,4704346.919316767,18744.036887998802,18744.036887998802,16.443863695800065,0.7768192658163516,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,21.0,6608874.1278020665,0.0,400.6942185179936,4845921.991566445,18744.036887998802,18744.036887998802,16.303241011561024,0.7798173693043365,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,21.0,6613532.090511158,0.0,400.37501473018244,4638848.629312083,18744.036887998802,18744.036887998802,16.509486819820694,0.7756930231037937,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,21.0,6626754.869690126,0.0,400.2027981486351,4627223.107356288,18744.036887998802,18744.036887998802,16.52073737398849,0.7773033463075453,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,21.0,6652837.789239563,0.0,400.10952980511803,4788933.600604618,18744.036887998802,18744.036887998802,16.35949092358656,0.7797990789625986,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,21.0,6629499.853721271,0.0,400.0591843507456,4507110.238124102,18744.036887998802,18744.036887998802,16.640733520134845,0.7766374038751934,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.0,1183256.3280660673,117554.90223694396,552.7649736425467,4548401.181030699,18744.036887998802,18744.036887998802,16.59947574573918,0.7779278339587918,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,21.088975931514852,0.0,755981.5225062857,755.8245075116359,4418529.045632504,18744.036887998802,18744.036887998802,16.765599376001283,0.7795401625172655,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,21.40890217507603,0.0,714006.8485683547,847.1263004363211,3991327.4339412213,18744.036887998802,18744.036887998802,17.48553757592281,0.7775092332931752,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,21.658369854866745,0.0,687683.1852299302,888.2791354752387,3870170.031152753,18744.036887998802,18744.036887998802,17.877833049516454,0.7787036527235095,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,21.00188599319796,4026232.341101676,5409.698473050389,770.9054781320691,3610396.796042811,18744.036887998802,18744.036887998802,17.59456446510164,0.7769234894895405,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.076281516883967,737165.7713561717,438402.2128479121,747.3561494677031,3323785.0055360263,18744.036887998802,18744.036887998802,17.84697403476734,0.7778003034824034,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,21.37120120510793,0.0,577243.2416607391,845.1065289933587,3245595.4772266634,18744.036887998802,18744.036887998802,18.19770316834361,0.7786074741468744,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,21.596434266265273,0.0,611897.3331821155,886.3341110268503,3458227.0230255267,18744.036887998802,18744.036887998802,18.23143787743291,0.7795288112800701,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,21.792933204471392,0.0,639660.2984082015,904.7737853117467,3609540.641424125,18744.036887998802,18744.036887998802,18.27412921787689,0.7792353152251725,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,21.00463443745531,4157824.2499381537,42140.036917855934,766.2276772832126,3789112.6824374744,18744.036887998802,18744.036887998802,17.432200679397265,0.7763310409692011,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,21.00000000427955,5424330.7316530235,0.0,586.9593068568984,4035858.1474202103,18744.036887998802,18744.036887998802,17.10960467040271,0.7786044174826537,37488.073775997604 
 01/01  21:00:00,-5.0,2.625,21.000000000000593,6040710.80144838,0.0,499.2123192896618,3942075.54872799,18744.036887998802,18744.036887998802,17.203289939182305,0.7780977408429246,37488.073775997604 
 01/01  22:00:00,-4.15,3.0,21.0,6310778.635071883,0.0,452.97770652727763,3814155.086511103,18744.036887998802,18744.036887998802,17.33074908746411,0.7786419974458733,37488.073775997604 
 01/01  23:00:00,-4.0,2.375,21.0,6423350.5362881655,0.0,428.36761606730016,3791462.3541159793,18744.036887998802,18744.036887998802,17.353229879923664,0.7792891479850439,37488.073775997604 
 01/01  24:00:00,-3.875,2.625,21.0,6474946.307905404,0.0,415.21694390617245,3773130.2962911986,18744.036887998802,18744.036887998802,17.37196786498967,0.7784035255910742,37488.073775997604 
 01/02  01:00:00,-3.925,3.625,21.0,6505758.606812361,0.0,408.1662856378462,3781309.942490627,18744.036887998802,18744.036887998802,17.364460659260974,0.7788129476276169,37488.073775997604 
 01/02  02:00:00,-4.0,3.375,21.0,6513596.935943522,0.0,404.37959728914757,3792815.3840834526,18744.036887998802,18744.036887998802,17.353208049620264,0.7793958740042459,37488.073775997604 
 01/02  03:00:00,-4.0,3.625,21.0,6521458.0059688995,0.0,402.3496235462161,3792815.3840834526,18744.036887998802,18744.036887998802,17.353206608933775,0.7794047511615841,37488.073775997604 
 01/02  04:00:00,-4.0,3.375,21.0,6523704.69410112,0.0,401.26028288380917,3793782.3911459637,18744.036887998802,18744.036887998802,17.353202136317293,0.779412216681252,37488.073775997604 
 01/02  05:00:00,-4.0,4.875,21.0,6544281.497563622,0.0,400.67594543410934,3792549.6947058383,18744.036887998802,18744.036887998802,17.353205700291397,0.7794132937498708,37488.073775997604 
 01/02  06:00:00,-4.375,5.375,21.0,6559104.461582191,0.0,400.362052560361,3846878.3049064083,18744.036887998802,18744.036887998802,17.29697117725139,0.7772579412878137,37488.073775997604 
 01/02  07:00:00,-6.1,5.0,21.0,6577302.564176549,0.0,400.19433218538956,4105987.9107054165,18744.036887998802,18744.036887998802,17.038235211840345,0.7781869172726605,37488.073775997604 
 01/02  08:00:00,-7.625,3.75,21.0,6583794.25985561,0.0,400.10438810401286,4336240.554811282,18744.036887998802,18744.036887998802,16.80949095158042,0.7795516330877638,37488.073775997604 
 01/02  09:00:00,-7.562500000000001,4.25,21.0,6570037.3374282885,0.0,400.05617857781425,4327520.807975197,18744.036887998802,18744.036887998802,16.818862373774078,0.7763270754975173,37488.073775997604 
 01/02  10:00:00,-8.3625,4.375,21.0,1176258.0721179286,118724.1184781027,552.7147555574828,4448423.618617736,18744.036887998802,18744.036887998802,16.69885668853752,0.7777049981334854,6816288.073775997 
 01/02  11:00:00,-9.0,4.625,21.07541684068216,0.0,778578.1163983223,755.238946473113,4548498.4106859155,18744.036887998802,18744.036887998802,16.629110725621242,0.7794635959623557,8346288.073775997 
 01/02  12:00:00,-8.0,3.75,21.382667105147497,0.0,795376.9353514058,846.2667670862088,4438661.326475517,18744.036887998802,18744.036887998802,17.01117192067006,0.7756563477143139,8346288.073775997 
 01/02  13:00:00,-7.775,3.625,21.64955759736651,0.0,792912.4302762145,888.298447444446,4447773.539103189,18744.036887998802,18744.036887998802,17.289186171008737,0.777623189508927,8346288.073775997 
 01/02  14:00:00,-7.375,3.375,21.00188752642268,3901550.5187456766,14124.74907550145,771.0051682783345,4306840.512166158,18744.036887998802,18744.036887998802,16.900703076958884,0.7770332100205388,256368.07377599765 
 01/02  15:00:00,-6.4375,3.0,21.080770633615565,697412.3396186978,554784.2403127194,747.9609972881415,4159871.375183385,18744.036887998802,18744.036887998802,17.01499119187148,0.7747668017422743,6816288.073775997 
 01/02  16:00:00,-6.6625,2.375,21.36901714627385,0.0,755906.3269265178,846.8793303103495,4236128.694294736,18744.036887998802,18744.036887998802,17.211386329039428,0.7767677385318498,8346288.073775997 
 01/02  17:00:00,-8.25,2.0,21.582084326977785,0.0,801710.335877921,888.0031054380947,4510230.887466678,18744.036887998802,18744.036887998802,17.170529075024888,0.7795159272865324,8346288.073775997 
 01/02  18:00:00,-8.375,2.0,21.77621019027528,0.0,810706.0927051473,906.8884447035836,4557063.12422938,18744.036887998802,18744.036887998802,17.31339076671266,0.7757808695712461,8346288.073775997 
 01/02  19:00:00,-9.25,2.0,21.003296170685612,4048140.4233375294,54978.722643544985,768.4534874061222,4590925.938478296,18744.036887998802,18744.036887998802,16.629320688791882,0.7743094683789967,37488.073775997604 
 01/02  20:00:00,-10.0,2.0,21.00000000311821,5302102.187671111,0.0,588.2839731978311,4693479.028731282,18744.036887998802,18744.036887998802,16.45340975530067,0.7786472795510021,37488.073775997604 
 01/02  21:00:00,-9.3125,2.0,21.000000000000433,5938656.763136022,0.0,499.9731658057413,4590397.90348524,18744.036887998802,18744.036887998802,16.55645587048746,0.7750358005263587,37488.073775997604 
 01/02  22:00:00,-9.5875,1.375,21.0,6242465.90604656,0.0,453.5601896633244,4631757.413747351,18744.036887998802,18744.036887998802,16.515163083548234,0.7769702163918171,37488.073775997604 
 01/02  23:00:00,-10.0,1.0,21.0,6395015.167971981,0.0,428.76320219822355,4693798.542872312,18744.036887998802,18744.036887998802,16.45326746252288,0.7795938759412002,37488.073775997604 
 01/02  24:00:00,-9.25,1.0,21.0,6470177.998610372,0.0,415.48183832358075,4580814.614216327,18744.036887998802,18744.036887998802,16.56575492874243,0.7758558448403372,37488.073775997604 
 01/03  01:00:00,-9.55,1.0,21.0,6524185.578101782,0.0,408.3539500290765,4626008.373670131,18744.036887998802,18744.036887998802,16.520750327795724,0.7774104496751295,37488.073775997604 
 01/03  02:00:00,-10.0,1.0,21.0,6569085.313125142,0.0,404.50415691365197,4693798.542872312,18744.036887998802,18744.036887998802,16.4532488129845,0.7797151142183582,37488.073775997604 
 01/03  03:00:00,-9.6875,1.625,21.0,6609540.93945198,0.0,402.4308043656122,4646463.812271388,18744.036887998802,18744.036887998802,16.500122353867148,0.7763267759118414,37488.073775997604 
