Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/02  01:00:00,-3.925,3.625,20.0,0.00366931427649314,294959.7287226032,0.0,403.3984491858233,3629602.430791529,18744.036887998802,18744.036887998802,16.51542410834717,37488.073775997604 
 01/02  02:00:00,-4.0,3.375,20.0,0.003612405598440292,313677.3568403825,0.0,401.51883872153326,3641102.7687201146,18744.036887998802,18744.036887998802,16.50416789893458,37488.073775997604 
 01/02  03:00:00,-4.0,3.625,20.0,0.003667572880541937,340060.6860897146,0.0,400.67993484132387,3641102.768720113,18744.036887998802,18744.036887998802,16.504160339714062,37488.073775997604 
 01/02  04:00:00,-4.0,3.375,20.0,0.003611610840682202,351844.4618185778,0.0,400.30419418276006,3642031.0955001223,18744.036887998802,18744.036887998802,16.504147401899004,37488.073775997604 
 01/02  05:00:00,-4.0,4.875,20.0,0.0040225127514351726,411138.7749277664,0.0,400.13611219480305,3640847.706917605,18744.036887998802,18744.036887998802,16.50414135917557,37488.073775997604 
 01/02  06:00:00,-4.375,5.375,20.000000000000004,0.0041836889875563376,449080.6862779379,0.0,400.06053925003414,3695277.0241921404,18744.036887998802,18744.036887998802,16.44789652127763,37488.073775997604 
 01/02  07:00:00,-6.1,5.0,20.0,0.004081394272185991,485254.0336829134,0.0,400.02704632332933,3954474.8585943356,18744.036887998802,18744.036887998802,16.189153908385723,37488.073775997604 
 01/02  08:00:00,-7.625,3.75,20.0,0.003758236916686517,486675.60124891694,0.0,400.0121190971853,4184756.1766938,18744.036887998802,18744.036887998802,15.960399669827847,37488.073775997604 
 01/02  09:00:00,-7.562500000000001,4.25,20.0,0.0039011629868561854,506343.5815238313,0.0,400.0054587718422,4176010.1537189716,18744.036887998802,18744.036887998802,15.96976038424765,37488.073775997604 
 01/02  10:00:00,-8.3625,4.375,21.86402069590983,0.003933387436821799,0.0,835151.1380934746,508.50079998465935,4543352.878275427,18744.036887998802,18744.036887998802,17.232422630839793,6816288.073775997 
 01/02  11:00:00,-9.0,4.625,22.99518158549794,0.0040060276971818215,0.0,857444.5588103984,698.3776653283314,4835539.520592008,18744.036887998802,18744.036887998802,18.240810215811663,8346288.073775997 
 01/02  12:00:00,-8.0,3.75,23.133159475630137,0.0037835523073163216,0.0,829533.4956073381,809.7838851908343,4710022.971127906,18744.036887998802,18744.036887998802,18.53469375597389,8346288.073775997 
 01/02  13:00:00,-7.775,3.625,23.22492733007852,0.0037355895229905334,0.0,822061.3799007081,858.197208375448,4693563.890188023,18744.036887998802,18744.036887998802,18.669233840780823,8346288.073775997 
 01/02  14:00:00,-7.375,3.375,20.598192965213556,0.0036628921835774584,50519.13661921701,465569.8189921231,777.1577800486492,4271825.85370544,18744.036887998802,18744.036887998802,16.70487134487739,256368.07377599765 
 01/02  15:00:00,-6.4375,3.0,22.082280528052056,0.0035899957614894283,0.0,790923.4370270089,767.6971576414905,4280970.370663598,18744.036887998802,18744.036887998802,17.695514361292076,6816288.073775997 
 01/02  16:00:00,-6.6625,2.375,23.275476031153588,0.0034799662402284727,0.0,801430.0976953732,831.5099309576958,4524726.837399512,18744.036887998802,18744.036887998802,18.831535057797737,8346288.073775997 
 01/02  17:00:00,-8.25,2.0,23.323089020307197,0.003435526978050565,0.0,836356.6959234877,868.2100321951559,4780352.991442134,18744.036887998802,18744.036887998802,18.68741905933577,8346288.073775997 
 01/02  18:00:00,-8.375,2.0,23.363419908455526,0.0034553968954476643,0.0,842796.2673942242,883.9122619375523,4802779.132994501,18744.036887998802,18744.036887998802,18.693503335552837,8346288.073775997 
 01/02  19:00:00,-9.25,2.0,20.440188422661166,0.0034595698239406137,286698.2020638411,312714.3228069952,726.436514243724,4522392.472997014,18744.036887998802,18744.036887998802,16.24513067243682,37488.073775997604 
 01/02  20:00:00,-10.0,2.0,20.000000000070923,0.0034583245007173786,221719.0221613114,0.0,538.6552970108046,4542076.475232,18744.036887998802,18744.036887998802,15.604150488004171,37488.073775997604 
 01/02  21:00:00,-9.3125,2.0,20.000000000000004,0.003467042938136181,303845.5271620974,0.0,462.72239547043205,4438961.9893101705,18744.036887998802,18744.036887998802,15.707286544564658,37488.073775997604 
 01/02  22:00:00,-9.5875,1.375,20.0,0.0033978345512962515,351355.2495266554,0.0,428.37720752063905,4480330.831519306,18744.036887998802,18744.036887998802,15.66603998339658,37488.073775997604 
 01/02  23:00:00,-10.0,1.0,20.0,0.003361274443776734,391025.83127842704,0.0,412.8360306252712,4542385.6866506245,18744.036887998802,18744.036887998802,15.604161167615574,37488.073775997604 
 01/02  24:00:00,-9.25,1.0,20.0,0.0033678089976245016,408610.6536165047,0.0,405.8131251034789,4429382.629560343,18744.036887998802,18744.036887998802,15.71665086953362,37488.073775997604 
 01/03  01:00:00,-9.55,1.0,20.0,0.0033651997825193047,437472.63645022037,0.0,402.64012731784953,4474584.110403834,18744.036887998802,18744.036887998802,15.671644330895937,37488.073775997604 
 01/03  02:00:00,-10.0,1.0,20.0,0.003361274443776734,462945.8563648423,0.0,401.1968873259864,4542385.686650625,18744.036887998802,18744.036887998802,15.604135489609915,37488.073775997604 
 01/03  03:00:00,-9.6875,1.625,20.0,0.0034277081057781165,481289.35007272684,0.0,400.54285918782205,4495051.550952523,18744.036887998802,18744.036887998802,15.65100053022219,37488.073775997604 
 01/03  04:00:00,-10.4375,2.625,20.0,0.0035694245187956413,528093.1569143075,0.0,400.24657936670275,4608046.159025997,18744.036887998802,18744.036887998802,15.538494384329836,37488.073775997604 
 01/03  05:00:00,-11.0,2.375,20.0,0.003527322860341697,546307.7954295613,0.0,400.11171031721767,4692879.194115752,18744.036887998802,18744.036887998802,15.454109560253329,37488.073775997604 
 01/03  06:00:00,-10.3125,2.625,20.0,0.0035729456823440716,553456.5799470169,0.0,400.05067769038124,4589371.777197314,18744.036887998802,18744.036887998802,15.557222362192034,37488.073775997604 
 01/03  07:00:00,-10.5875,2.375,20.0,0.0035303693046053655,567262.9166509002,0.0,400.02301919779734,4630774.428396374,18744.036887998802,18744.036887998802,15.515965992495236,37488.073775997604 
 01/03  08:00:00,-11.625,2.0,20.0,0.0034797268424919467,594821.6150826974,0.0,400.0104542191316,4787490.160352006,18744.036887998802,18744.036887998802,15.360333108908733,37488.073775997604 
 01/03  09:00:00,-11.624999999999998,2.0,20.0,0.003494027245961823,604260.2566509263,0.0,400.0047556905264,4787779.335566215,18744.036887998802,18744.036887998802,15.360320040841955,37488.073775997604 
 01/03  10:00:00,-11.15,3.25,20.0,0.00370489515314704,611160.3729628506,0.0,400.0021651640801,4716410.237480302,18744.036887998802,18744.036887998802,15.431560019298713,37488.073775997604 
 01/03  11:00:00,-11.0,5.25,20.0,0.004244541994438191,690901.7520570671,0.0,400.00097759526363,4693918.420935286,18744.036887998802,18744.036887998802,15.45405515778781,37488.073775997604 
 01/03  12:00:00,-10.5625,4.125,20.0,0.003925421686337371,671023.4671131351,0.0,400.00043988671825,4628220.102747491,18744.036887998802,18744.036887998802,15.519673998480501,37488.073775997604 
