Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/03  16:00:00,-6.375,4.625,2.3404064077626705,400.00003513407455,1319082.5175827066,18751.537502999996,18751.537502999996,1.1299817172093107,9037503.075006 
 01/03  17:00:00,-6.625,3.75,2.3634045601725115,400.000016073848,1360527.1393766445,18751.537502999996,18751.537502999996,1.1124186790100137,9037503.075006 
 01/03  18:00:00,-6.6875,3.625,2.399788033421317,400.00000739055065,1374660.2695357811,18751.537502999996,18751.537502999996,1.1271952459125205,9037503.075006 
 01/03  19:00:00,-6.8125,4.0,2.4358740799145635,400.0000033969483,1399930.796769204,18751.537502999996,18751.537502999996,1.1447151052585942,9037503.075006 
 01/03  20:00:00,-6.375,4.625,2.4665382723855163,400.0000015561841,1338028.0933055778,18751.537502999996,18751.537502999996,1.2362364187712562,9037503.075006 
 01/03  21:00:00,-6.0625,5.625,2.4824845678964587,400.0000007098537,1294464.861583809,18751.537502999996,18751.537502999996,1.3034452234442189,9037503.075006 
 01/03  22:00:00,-6.0375,6.0,2.4781000396256143,400.0000003226386,1290297.0101585672,18751.537502999996,18751.537502999996,1.3054602876479133,9037503.075006 
 01/03  23:00:00,-6.625,6.0,2.4528340126209853,400.0000001463336,1376823.9746428856,18751.537502999996,18751.537502999996,1.203810605603806,9037503.075006 
 01/03  24:00:00,-7.0625,5.375,2.418856066834379,400.000000066448,1437512.9080056304,18751.537502999996,18751.537502999996,1.106279988022578,9037503.075006 
 01/04  01:00:00,-7.6625,4.375,2.3777556360048338,400.00000003035876,1523088.7692833173,18751.537502999996,18751.537502999996,0.9878766761170021,9037503.075006 
 01/04  02:00:00,-8.0,4.0,2.323299203907901,400.0000000139101,1565862.4104699385,18751.537502999996,18751.537502999996,0.8914191386610788,9037503.075006 
 01/04  03:00:00,-7.75,4.625,2.264167470268788,400.0000000063719,1519472.1256044623,18751.537502999996,18751.537502999996,0.8806261436677055,9037503.075006 
 01/04  04:00:00,-7.225,3.75,2.2062402688690064,400.000000002917,1430766.3315097473,18751.537502999996,18751.537502999996,0.9081985338157786,9037503.075006 
 01/04  05:00:00,-7.0,4.25,2.1320365218044866,400.0000000013399,1386507.6594009497,18751.537502999996,18751.537502999996,0.8863739599177283,9037503.075006 
 01/04  06:00:00,-6.812499999999999,4.375,2.049571079100454,400.00000000061306,1345200.7492299317,18751.537502999996,18751.537502999996,0.8412825183364568,9037503.075006 
 01/04  07:00:00,-6.8875,4.0,1.967538987255852,400.0000000002814,1344838.866366405,18751.537502999996,18751.537502999996,0.7625807651819905,9037503.075006 
 01/04  08:00:00,-7.0,4.625,1.8790944912792336,400.00000000012915,1348443.5881581078,18751.537502999996,18751.537502999996,0.6700356795460616,9037503.075006 
 01/04  09:00:00,-6.6875,5.0,1.8037377952376388,400.00000000005923,1288907.0215997612,18751.537502999996,18751.537502999996,0.6482142110480733,9037503.075006 
 01/04  10:00:00,-6.1875,6.25,1.7410100981962906,400.00000000002717,1203517.795198978,18751.537502999996,18751.537502999996,0.6701953326946851,9037503.075006 
 01/04  11:00:00,-6.625,5.75,1.6773403932240056,400.0000000000125,1260226.6630574844,18751.537502999996,18751.537502999996,0.5491128291233137,9037503.075006 
 01/04  12:00:00,-6.562500000000001,3.75,1.6373401784523245,400.0000000000058,1243208.823175445,18751.537502999996,18751.537502999996,0.5142177293463038,9037503.075006 
 01/04  13:00:00,-6.1125,4.25,1.6156993091524465,400.00000000000273,1171823.3761673318,18751.537502999996,18751.537502999996,0.5641153255085801,9037503.075006 
 01/04  14:00:00,-6.0,4.375,1.6101001934754708,400.00000000000125,1152854.719698207,18751.537502999996,18751.537502999996,0.5705681856226422,9037503.075006 
 01/04  15:00:00,-5.375,4.625,1.6417525914745736,400.00000000000057,1061475.6480384725,18751.537502999996,18751.537502999996,0.6830302512573889,9037503.075006 
 01/04  16:00:00,-5.0,4.375,1.699128139620163,400.0000000000002,1012837.1503392715,18751.537502999996,18751.537502999996,0.7842348788218617,9037503.075006 
 01/04  17:00:00,-5.0,3.375,1.7729696140175701,400.00000000000017,1023318.6669517421,18751.537502999996,18751.537502999996,0.8412156356777957,9037503.075006 
 01/04  18:00:00,-5.125,3.0,1.8585269310984096,400.00000000000017,1055214.756821932,18751.537502999996,18751.537502999996,0.8941172776884921,9037503.075006 
 01/04  19:00:00,-5.075,2.375,1.945170350126148,400.0000000000001,1060770.0496811718,18751.537502999996,18751.537502999996,0.9753045150481711,9037503.075006 
 01/04  20:00:00,-5.0,2.0,2.0217784098497207,400.00000000000017,1061789.3233798593,18751.537502999996,18751.537502999996,1.0561020111631338,9037503.075006 
 01/04  21:00:00,-4.5,3.25,2.087965646654213,400.00000000000034,996231.1022538936,18751.537502999996,18751.537502999996,1.1869868302922848,9037503.075006 
 01/04  22:00:00,-4.075,2.75,2.1458263155051807,400.00000000000034,941161.0954052713,18751.537502999996,18751.537502999996,1.3028721087135482,9037503.075006 
 01/04  23:00:00,-4.0,2.0,2.1880996281450606,400.0000000000005,936911.3269209003,18751.537502999996,18751.537502999996,1.354340778816672,9037503.075006 
 01/04  24:00:00,-3.875,1.375,2.2240144209986688,400.00000000000034,923454.7583661238,18751.537502999996,18751.537502999996,1.402508879308001,9037503.075006 
 01/05  01:00:00,-4.55,3.5,2.2396845846786753,400.0000000000001,1029749.0795827628,18751.537502999996,18751.537502999996,1.3234584134696443,9037503.075006 
 01/05  02:00:00,-5.0,3.75,2.253241771776296,400.0000000000003,1098783.3972696064,18751.537502999996,18751.537502999996,1.2637936716829774,9037503.075006 
 01/05  03:00:00,-5.0,3.0,2.281013119224909,400.00000000000006,1102978.718487265,18751.537502999996,18751.537502999996,1.2889416513529133,9037503.075006 
 01/05  04:00:00,-5.625,3.625,2.2900342013714163,400.00000000000006,1200062.2676650453,18751.537502999996,18751.537502999996,1.2082082578966298,9037503.075006 
 01/05  05:00:00,-6.0,3.375,2.2980223961968664,400.00000000000034,1257417.7709326749,18751.537502999996,18751.537502999996,1.1547770936053023,9037503.075006 
 01/05  06:00:00,-6.749999999999999,3.0,2.3007844177393695,400.0000000000003,1372406.5145183913,18751.537502999996,18751.537502999996,1.0502749986930269,9037503.075006 
 01/05  07:00:00,-7.7,3.0,2.289659207986949,400.0000000000004,1514567.1039012505,18751.537502999996,18751.537502999996,0.8985397702131156,9037503.075006 
