Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,16.0,5115816.889184505,0.0,406.3562384391612,3648193.1912043355,18744.036887998802,18744.036887998802,13.510617959166058,0.7635166012169087,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,16.0,5297921.000646427,0.0,403.1797898296775,4071374.0429424336,18744.036887998802,18744.036887998802,13.321680304692556,0.7642527309182768,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,16.0,5366477.555719695,0.0,401.59744657839894,3980940.4757626886,18744.036887998802,18744.036887998802,13.377003868017113,0.7593293584090426,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,16.0,5416464.921110656,0.0,400.80512653544906,4134443.637678832,18744.036887998802,18744.036887998802,13.245690483662205,0.7613433118783806,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,16.0,5455084.926929025,0.0,400.4054093270286,4294753.208572768,18744.036887998802,18744.036887998802,13.209930107756389,0.764342186527336,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,16.0,5460893.846458513,0.0,400.20422572577104,4071911.4756057216,18744.036887998802,18744.036887998802,13.328466404870113,0.7602201364700697,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,16.0,5479630.988271911,0.0,400.1030095404029,4051145.497053705,18744.036887998802,18744.036887998802,13.28823516806138,0.7618262458656366,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,21.035690890977637,14105458.822677493,48218.9425675515,400.0590468058984,4784286.06979681,18744.036887998802,18744.036887998802,16.333473494506293,0.7778539196844205,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,21.0,10176437.952454533,0.0,400.0336907467953,4507577.676649218,18744.036887998802,18744.036887998802,16.643318106762184,0.7769086960220055,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.0,2811623.169674185,0.0,545.2195385435161,4548401.1810307,18744.036887998802,18744.036887998802,16.599459442274657,0.7780037380284782,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,21.0,160458.05425112502,127083.69426179436,738.2807012530455,4412985.598278085,18744.036887998802,18744.036887998802,16.734520097972847,0.7791582379158241,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,21.028282040864504,0.0,641206.2476116471,826.9988728649744,3942104.3327492406,18744.036887998802,18744.036887998802,17.209563436401695,0.7759848917932967,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,21.189708449137264,0.0,671697.6468977765,865.9907201855467,3801402.114761763,18744.036887998802,18744.036887998802,17.492373562332077,0.7765009219238693,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,21.006506314718987,4824330.477503368,0.0,753.3485622928174,3610977.272349517,18744.036887998802,18744.036887998802,17.597943641583196,0.7773623894294781,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,21.000000633876272,903928.1409624466,197853.91351606342,731.3988237178747,3319337.5140814628,18744.036887998802,18744.036887998802,17.822157715420296,0.7769218192940719,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,21.0821906447905,0.0,563897.6288226256,825.0185708312868,3206300.4697154257,18744.036887998802,18744.036887998802,17.977843845508787,0.7768298263564686,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,21.239282934714275,0.0,597957.9044880004,863.3842124064653,3407033.35379142,18744.036887998802,18744.036887998802,17.94473714552014,0.7772224833987733,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,21.37744753668813,0.0,625190.0411150779,879.8497033828469,3548122.42821963,18744.036887998802,18744.036887998802,17.930060599435098,0.77645412426104,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,21.003481951086673,4907304.257855528,0.0,745.2268310499624,3786337.5252997167,18744.036887998802,18744.036887998802,17.416834322554042,0.7754693598160982,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,17.131490724972288,123668.46753867697,469924.72377022146,594.1055829849721,3496819.509295526,18744.036887998802,18744.036887998802,14.087088028559613,0.7613196355216165,37488.073775997604 
